rank,uri,artist_names,artist_names_1,artist_names_2,artist_names_3,artist_names_4,artist_names_5,artist_names_6,artist_names_7,artist_names_8,artist_names_9,artist_names_10,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,season,month,week
71,spotify:track:5WHTFyqSii0lmT9R21abT8,Mabel,Mabel,,,,,,,,,,Don't Call Me Up,Polydor Records,69,69,8,2783053,Winter,March,26
72,spotify:track:1fewSx2d5KIZ04wsooEBOz,"Metro Boomin, Gunna",Metro Boomin,Gunna,,,,,,,,,Space Cadet (feat. Gunna),Republic Records,20,63,22,2771788,Winter,March,26
73,spotify:track:0e7ipj03S05BNilyu5bRzt,"Post Malone, 21 Savage",Post Malone,21 Savage,,,,,,,,,rockstar (feat. 21 Savage),Republic Records,1,66,81,2752846,Winter,March,26
74,spotify:track:6eiztdXRkooWsBt2xToMWI,Juice WRLD,Juice WRLD,,,,,,,,,,Make Believe,Grade A Productions/Interscope Records,24,56,4,2731558,Winter,March,26
75,spotify:track:29uWfSrklmIxzRIqFFK9jj,Khalid,Khalid,,,,,,,,,,Self,"Right Hand Music Group, LLC/RCA Records",75,-1,1,2709308,Winter,March,26
76,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Ava Max,,,,,,,,,,Sweet but Psycho,Atlantic Records,36,68,26,2684138,Winter,March,26
77,spotify:track:4hqOmrCCJKyiuwDexd8c2t,"NAV, The Weeknd",NAV,The Weeknd,,,,,,,,,Price On My Head (feat. The Weeknd),"XO Records, LLC and Republic Records",42,42,2,2682967,Winter,March,26
78,spotify:track:4TWflhgevIGo448fWc6mQq,Offset,Offset,,,,,,,,,,Red Room,Quality Control Music/Motown Records,22,61,7,2673429,Winter,March,26
79,spotify:track:0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,Tory Lanez,,,,,,,,,,Freaky,Mad Love/Interscope Records,79,92,3,2657704,Winter,March,26
80,spotify:track:2H4gf1wLxvYreMj1jcaN0k,Dean Lewis,Dean Lewis,,,,,,,,,,Be Alright,Universal Music Australia Pty. Ltd.,31,67,36,2639403,Winter,March,26
81,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,XXXTENTACION,,,,,,,,,,Jocelyn Flores,Bad Vibes Forever / EMPIRE,3,73,84,2598918,Winter,March,26
82,spotify:track:0fcq51a3gOI6gPvzc0YLsk,"Post Malone, Roddy Ricch, Tyga",Post Malone,Roddy Ricch,Tyga,,,,,,,,Wow. - Remix,Republic Records,75,75,3,2582381,Winter,March,26
83,spotify:track:2uIX8YMNjGMD7441kqyyNU,Billie Eilish,Billie Eilish,,,,,,,,,,ocean eyes,Darkroom,78,107,41,2557482,Winter,March,26
84,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",Bad Bunny,Drake,,,,,,,,,MIA (feat. Drake),OVO Sound/Warner Records,2,72,25,2549051,Winter,March,26
85,spotify:track:0jAfdqv18goRTUxm3ilRjb,"A Boogie Wit da Hoodie, Tyga, Offset",A Boogie Wit da Hoodie,Tyga,Offset,,,,,,,,Startender (feat. Offset and Tyga),Highbridge the Label / Atlantic Records,17,81,16,2546436,Winter,March,26
86,spotify:track:5AjINjwKyRvQJhSe2zpPHi,"Polo G, Lil Tjay",Polo G,Lil Tjay,,,,,,,,,Pop Out (feat. Lil Tjay),Columbia,86,130,2,2519033,Winter,March,26
87,spotify:track:4eIT2gZ0WZyJpgfmoD6saJ,City Girls,City Girls,,,,,,,,,,Act Up,Quality Control Music/Motown Records,87,94,5,2505237,Winter,March,26
88,spotify:track:0TlLq3lA83rQOYtrqBqSct,Drake,Drake,,,,,,,,,,Nonstop,Cash Money/Drake LP6,1,71,40,2505160,Winter,March,26
89,spotify:track:5SHhPFh68OhUmuRPymKX9d,FLETCHER,FLETCHER,,,,,,,,,,Undrunk,Capitol Records,82,82,4,2495644,Winter,March,26
90,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Queen,,,,,,,,,,Bohemian Rhapsody - Remastered 2011,Hollywood Records,42,76,23,2474148,Winter,March,26
91,spotify:track:2MShy1GSSgbmGUxADNIao5,Kodak Black,Kodak Black,,,,,,,,,,Calling My Spirit,Atlantic Records,31,84,18,2457615,Winter,March,26
92,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,Joji,,,,,,,,,,SLOW DANCING IN THE DARK,88rising Music/Warner Records,29,98,28,2441283,Winter,March,26
93,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,Post Malone,,,,,,,,,,I Fall Apart,Universal Records,2,90,81,2435652,Winter,March,26
94,spotify:track:5IaHrVsrferBYDm0bDyABy,"Tyga, Offset",Tyga,Offset,,,,,,,,,Taste (feat. Offset),Last Kings Music / EMPIRE,4,83,46,2431861,Winter,March,26
95,spotify:track:3swc6WTsr7rl9DqQKQA55C,"Post Malone, Ty Dolla $ign",Post Malone,Ty Dolla $ign,,,,,,,,,Psycho (feat. Ty Dolla $ign),Republic Records,2,87,58,2419858,Winter,March,26
96,spotify:track:11cDEev79fPKi6uJCjUhu8,"The Chainsmokers, 5 Seconds of Summer",The Chainsmokers,5 Seconds of Summer,,,,,,,,,Who Do You Love,Disruptor Records/Columbia,33,93,8,2404384,Winter,March,26
97,spotify:track:41MCdlvXOl62B7Kv86Bb1v,Juice WRLD,Juice WRLD,,,,,,,,,,Empty,Grade A Productions/Interscope Records,13,65,4,2385889,Winter,March,26
98,spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Lil Baby, Drake",Lil Baby,Drake,,,,,,,,,Yes Indeed,"Quality Control Music, LLC",2,88,47,2381721,Winter,March,26
99,spotify:track:51NFxnQvaosfDDutk0tams,Billie Eilish,Billie Eilish,,,,,,,,,,bellyache,Darkroom,49,109,22,2374061,Winter,March,26
100,spotify:track:6JQvHMSaR8flFsN53ypOfP,Lil Mosey,Lil Mosey,,,,,,,,,,Noticed,Mogul Vision/Interscope Records,20,91,33,2361422,Winter,March,26
101,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,Juice WRLD,,,,,,,,,,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,89,50,2347625,Winter,March,26
102,spotify:track:58q2HKrzhC3ozto2nDdN4z,"Cardi B, Bad Bunny, J Balvin",Cardi B,Bad Bunny,J Balvin,,,,,,,,I Like It,Atlantic/KSR,3,86,52,2334945,Winter,March,26
103,spotify:track:4SPu0Ql902hTVXkBoNIYtq,Ariana Grande,Ariana Grande,,,,,,,,,,NASA,Republic Records,3,70,8,2333221,Winter,March,26
104,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Offset, Metro Boomin",Offset,Metro Boomin,,,,,,,,,Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,95,75,2309523,Winter,March,26
105,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,5 Seconds of Summer,,,,,,,,,,Youngblood,Capitol,17,96,51,2301492,Winter,March,26
106,spotify:track:7pMRoGLEJuFM2wl5pt0R99,"Offset, Travis Scott, 21 Savage",Offset,Travis Scott,21 Savage,,,,,,,,Legacy (feat. Travis Scott & 21 Savage),Quality Control Music/Motown Records,19,102,6,2279556,Winter,March,26
107,spotify:track:1WSGTYKLEpKfNQYYW5Oymt,"benny blanco, Selena Gomez, J Balvin, Tainy",benny blanco,Selena Gomez,J Balvin,Tainy,,,,,,,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",NEON16/Friends Keep Secrets/Interscope Records,27,35,5,2276082,Winter,March,26
108,spotify:track:1Pz3QmQFBFuI60rxCQBeW6,The Chainsmokers,The Chainsmokers,,,,,,,,,,Kills You Slowly,Disruptor Records/Columbia,108,-1,1,2275715,Winter,March,26
109,spotify:track:1TEL6MlSSVLSdhOSddidlJ,Ariana Grande,Ariana Grande,,,,,,,,,,needy,Republic Records,4,78,8,2273044,Winter,March,26
110,spotify:track:5JEx7HbmvHQQswJCsoo9rA,"Ellie Goulding, Diplo, Swae Lee",Ellie Goulding,Diplo,Swae Lee,,,,,,,,Close To Me (with Diplo) (feat. Swae Lee),Polydor Records,33,99,23,2256301,Winter,March,26
111,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,"Kehlani, Ty Dolla $ign",Kehlani,Ty Dolla $ign,,,,,,,,,Nights Like This (feat. Ty Dolla $ign),TSNMI / Atlantic,21,80,12,2247178,Winter,March,26
112,spotify:track:7AQim7LbvFVZJE3O8TYgf2,"XXXTENTACION, Trippie Redd",XXXTENTACION,Trippie Redd,,,,,,,,,Fuck Love (feat. Trippie Redd),Bad Vibes Forever / EMPIRE,8,101,84,2235372,Winter,March,26
113,spotify:track:5CE0V7z1ePOZQNJNpWxYGA,Logic,Logic,,,,,,,,,,Confessions of a Dangerous Mind,Def Jam Recordings,28,28,2,2128344,Winter,March,26
114,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,Lil Uzi Vert,,,,,,,,,,XO Tour Llif3,Generation Now/Atlantic,2,112,106,2121989,Winter,March,26
115,spotify:track:4dAMdQ6g4kGmnc1MDHsg77,NLE Choppa,NLE Choppa,,,,,,,,,,Shotta Flow,No Love Entertainment,115,158,3,2110012,Winter,March,26
116,spotify:track:7uH27oIt4a6cIFCA8ZPcyG,Ozuna,Ozuna,,,,,,,,,,Baila Baila Baila,Aura Music Corp.,100,100,9,2086385,Winter,March,26
117,spotify:track:6fIjnWrv46njJHLDAY2JdC,"Nipsey Hussle, Kendrick Lamar",Nipsey Hussle,Kendrick Lamar,,,,,,,,,Dedication (feat. Kendrick Lamar),Atlantic Records,117,-1,1,2068809,Winter,March,26
118,spotify:track:4dTiQezDWmEOWcdCbWVWMp,ScHoolboy Q,ScHoolboy Q,,,,,,,,,,Numb Numb Juice,Top Dawg Entertainment/Interscope Records,23,64,3,2052397,Winter,March,26
119,spotify:track:6GSkLS2y4ZnnZsuRAj975K,"Marshmello, Roddy Ricch",Marshmello,Roddy Ricch,,,,,,,,,Project Dreams,Warner Records,82,131,14,2050319,Winter,March,26
120,spotify:track:42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,Dan + Shay,,,,,,,,,,Tequila,Warner Records,60,125,55,2050192,Winter,March,26
121,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,"Post Malone, Quavo",Post Malone,Quavo,,,,,,,,,Congratulations,Universal Records,5,114,119,2046339,Winter,March,26
122,spotify:track:39xWBHPM4E9MwzEy5gbM7p,"Nipsey Hussle, YG",Nipsey Hussle,YG,,,,,,,,,Last Time That I Checc'd (feat. YG),Atlantic Records,122,-1,1,2044720,Winter,March,26
123,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,Lauv,,,,,,,,,,I Like Me Better,Lauv,30,110,95,2044596,Winter,March,26
124,spotify:track:4e4fqjx0Izh4svvTef1z7e,"Bebe Rexha, Florida Georgia Line",Bebe Rexha,Florida Georgia Line,,,,,,,,,Meant to Be (feat. Florida Georgia Line),Warner Bros.,16,116,82,2033419,Winter,March,26
125,spotify:track:4XiGKQqbmnMVxDzUj6j3f2,YK Osiris,YK Osiris,,,,,,,,,,Worth It,Def Jam Recordings,119,119,5,2010181,Winter,March,26
126,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,Drake,,,,,,,,,,God's Plan,Cash Money/Drake LP6,1,117,63,1996826,Winter,March,26
127,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B",DJ Snake,Selena Gomez,Ozuna,Cardi B,,,,,,,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",7,106,27,1983660,Winter,March,26
128,spotify:track:25F6MWrnFBCXVnpN4n76EK,Logic,Logic,,,,,,,,,,Keanu Reeves,Def Jam Recordings,13,105,11,1981893,Winter,March,26
129,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Khalid,,,,,,,,,,Young Dumb & Broke,"Right Hand Music Group, LLC/RCA Records",6,127,103,1979224,Winter,March,26
130,spotify:track:74lnM5V6ecvoTPV0fvptx9,"Ski Mask The Slump God, Juice WRLD",Ski Mask The Slump God,Juice WRLD,,,,,,,,,Nuketown (feat. Juice WRLD),Republic Records,18,118,18,1962733,Winter,March,26
131,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,XXXTENTACION,,,,,,,,,,changes,"Bad Vibes Forever, LLC",7,123,57,1955156,Winter,March,26
132,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,Dan + Shay,,,,,,,,,,Speechless,Warner Records,85,136,35,1913794,Winter,March,26
133,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,"BlocBoy JB, Drake",BlocBoy JB,Drake,,,,,,,,,Look Alive (feat. Drake),OVO Sound/Warner Records,3,126,60,1900184,Winter,March,26
134,spotify:track:152lZdxL1OR0ZMW6KquMif,Khalid,Khalid,,,,,,,,,,Location,"Right Hand Music Group, LLC/RCA Records",9,140,116,1886161,Winter,March,26
135,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,Queen,Queen,,,,,,,,,,Don't Stop Me Now - Remastered 2011,Hollywood Records,102,122,18,1885968,Winter,March,26
136,spotify:track:2qG5sZ7Si6sdK74qLxedYM,"ROSALIA, J Balvin, El Guincho",ROSALIA,J Balvin,El Guincho,,,,,,,,Con Altura,Columbia,136,-1,1,1877898,Winter,March,26
137,spotify:track:4OBZT9EnhYIV17t4pGw7ig,"Daniel Caesar, H.E.R.",Daniel Caesar,H.E.R.,,,,,,,,,Best Part (feat. H.E.R.),MBK Entertainment/RCA Records,68,120,44,1865273,Winter,March,26
138,spotify:track:3R9j8urSPiBbapNbyuSYkE,Nipsey Hussle,Nipsey Hussle,,,,,,,,,,Grinding All My Life,Atlantic Records,138,-1,2,1863604,Winter,March,26
139,spotify:track:39LmTF9RgyakzSYX8txrow,Ariana Grande,Ariana Grande,,,,,,,,,,imagine,Republic Records,7,108,16,1862178,Winter,March,26
140,spotify:track:5W83ErFkO3aKAIS1WMi6u0,"Anuel AA, KAROL G",Anuel AA,KAROL G,,,,,,,,,Secreto,Anuel AA & Karol G - Secreto,92,104,11,1859721,Winter,March,26
141,spotify:track:5rU6kDNXZLXIinFezpbWbO,"NAV, Meek Mill",NAV,Meek Mill,,,,,,,,,Tap (feat. Meek Mill),"XO Records, LLC and Republic Records",79,79,2,1844475,Winter,March,26
142,spotify:track:4VUwkH455At9kENOfzTqmF,"Bazzi, Camila Cabello",Bazzi,Camila Cabello,,,,,,,,,Beautiful (feat. Camila Cabello),iamcosmic,30,142,35,1835329,Winter,March,26
143,spotify:track:7lAK3oHbfEnvUQWosrMMpR,Travis Scott,Travis Scott,,,,,,,,,,YOSEMITE,Cactus Jack / Epic / Grand Hustle,7,134,35,1834799,Winter,March,26
144,spotify:track:3oDkdAySo1VQQG0ptV7uwa,Juice WRLD,Juice WRLD,,,,,,,,,,Lean Wit Me,Juice WRLD Mixtape / ISR P&D,28,135,45,1832744,Winter,March,26
145,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,J. Cole,,,,,,,,,,No Role Modelz,Roc Nation Records LLC,65,139,94,1826499,Winter,March,26
146,spotify:track:3wLtYwtqvKK2ewelSVPeDK,Roddy Ricch,Roddy Ricch,,,,,,,,,,Die Young,Bird Vision Entertainment,146,-1,1,1819968,Winter,March,26
147,spotify:track:4NBTZtAt1F13VvlSKe6KTl,"The Chainsmokers, Kelsea Ballerini",The Chainsmokers,Kelsea Ballerini,,,,,,,,,This Feeling,Disruptor Records/Columbia,25,129,27,1818936,Winter,March,26
148,spotify:track:4iVD0fTHGxV9JWloujsL3s,"Nipsey Hussle, Belly, Dom Kennedy",Nipsey Hussle,Belly,Dom Kennedy,,,,,,,,Double Up (feat. Belly and Dom Kennedy),Atlantic Records,148,-1,1,1818737,Winter,March,26
149,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Travis Scott,,,,,,,,,,goosebumps,Epic/Grand Hustle,16,141,119,1809803,Winter,March,26
150,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,Kendrick Lamar,,,,,,,,,,HUMBLE.,Aftermath,1,143,104,1804755,Winter,March,26
151,spotify:track:51w9Jbat1pLeWINGCpnQUR,"Tory Lanez, Rich The Kid, Lil Wayne",Tory Lanez,Rich The Kid,Lil Wayne,,,,,,,,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,Mad Love/Interscope Records,123,132,12,1801192,Winter,March,26
152,spotify:track:5274I4mUMnYczyeXkGDWZN,"Future, Juice WRLD",Future,Juice WRLD,,,,,,,,,Fine China,Epic/Freebandz/Grade A/Interscope,6,137,25,1791000,Winter,March,26
153,spotify:track:1KVczjazCcCCgM3gXXUl47,"benny blanco, Juice WRLD, Brendon Urie",benny blanco,Juice WRLD,Brendon Urie,,,,,,,,Roses (with Juice WRLD feat. Brendon Urie),Friends Keep Secrets/Interscope Records,46,138,17,1784926,Winter,March,26
154,spotify:track:0FQhAHyHGsrbSHvDURmFPn,Billie Eilish,Billie Eilish,,,,,,,,,,my boy,Darkroom,147,178,13,1755337,Winter,March,26
155,spotify:track:2hloaUoRonYssMuqLCBLTX,Ariana Grande,Ariana Grande,,,,,,,,,,bloodline,Republic Records,6,113,8,1749483,Winter,March,26
156,spotify:track:4mUIe9gfsdtsVP2zFIl74x,Juice WRLD,Juice WRLD,,,,,,,,,,Maze,Grade A Productions/Interscope Records,28,111,4,1748142,Winter,March,26
157,spotify:track:7uzmGiiJyRfuViKKK3lVmR,Bazzi,Bazzi,,,,,,,,,,Mine,iamcosmic,4,148,64,1730212,Winter,March,26
158,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Maroon 5,Cardi B,,,,,,,,,Girls Like You (feat. Cardi B) - Cardi B Version,Interscope Records*,8,146,44,1728168,Winter,March,26
159,spotify:track:7EQpvVujgytLVY8vKiDHAg,Ariana Grande,Ariana Grande,,,,,,,,,,bad idea,Republic Records,5,121,8,1721876,Winter,March,26
160,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,Ariana Grande,,,,,,,,,,no tears left to cry,Republic Records,9,144,50,1720174,Winter,March,26
161,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake,Drake,,,,,,,,,,Nice For What,Cash Money/Drake LP6,1,149,52,1701055,Winter,March,26
162,spotify:track:0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,Bebe Rexha,,,,,,,,,,Last Hurrah,Warner Records,63,103,7,1699848,Winter,March,26
163,spotify:track:7DHApOHsIFo7EyfieArYGE,P!nk,P!nk,,,,,,,,,,Walk Me Home,RCA Records Label,130,167,6,1698305,Winter,March,26
164,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,Drake,Drake,,,,,,,,,,In My Feelings,Cash Money/Drake LP6,1,147,40,1696859,Winter,March,26
165,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,Juice WRLD,Juice WRLD,,,,,,,,,,Feeling,Grade A Productions/Interscope Records,55,177,4,1687705,Winter,March,26
166,spotify:track:2gwkD6igEhQbDQegRCcdoB,DaBaby,DaBaby,,,,,,,,,,Suge,South Coast Music Group/Interscope Records,166,-1,1,1680286,Winter,March,26
167,spotify:track:2qGfZAgDe1pV2y5xJAhi6R,YoungBoy Never Broke Again,YoungBoy Never Broke Again,,,,,,,,,,Slime Belief,"Never Broke Again, LLC",150,150,7,1662374,Winter,March,26
168,spotify:track:09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",Zedd,Maren Morris,Grey,,,,,,,,The Middle,UMGRI Interscope,7,155,60,1653592,Winter,March,26
169,spotify:track:3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,XXXTENTACION,,,,,,,,,,Everybody Dies In Their Nightmares,Bad Vibes Forever / EMPIRE,15,154,84,1650568,Winter,March,26
170,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ,"Metro Boomin, 21 Savage",Metro Boomin,21 Savage,,,,,,,,,10 Freaky Girls (with 21 Savage),Republic Records,11,124,22,1648248,Winter,March,26
171,spotify:track:32lItqlMi4LBhb4k0BaSaC,Post Malone,Post Malone,,,,,,,,,,Candy Paint,Republic Records,4,157,97,1642512,Winter,March,26
172,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,"YG, 2 Chainz, Big Sean, Nicki Minaj",YG,2 Chainz,Big Sean,Nicki Minaj,,,,,,,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",Def Jam Recordings,24,152,45,1624057,Winter,March,26
173,spotify:track:45Egmo7icyopuzJN0oMEdk,"Khalid, Normani",Khalid,Normani,,,,,,,,,Love Lies (with Normani),RCA Records Label,9,172,59,1622086,Winter,March,26
174,spotify:track:6rz0dTA0PdhXImFV5EjM0w,"Juice WRLD, Seezyn",Juice WRLD,Seezyn,,,,,,,,,Hide (feat. Seezyn),Universal Records,100,162,16,1601180,Winter,March,26
175,spotify:track:04MLEeAMuV9IlHEsD8vF6A,"French Montana, Drake",French Montana,Drake,,,,,,,,,No Stylist (feat. Drake),Epic,21,153,28,1596586,Winter,March,26
176,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,"Lil Peep, XXXTENTACION",Lil Peep,XXXTENTACION,,,,,,,,,Falling Down - Bonus Track,Columbia,1,160,29,1590635,Winter,March,26
177,spotify:track:1iPBD72u3nAyFEeardYuBV,Lil Mosey,Lil Mosey,,,,,,,,,,Kamikaze,Mogul Vision/Interscope Records,76,164,23,1589480,Winter,March,26
178,spotify:track:4bi9YrkOvmg4Eb7h00AW2c,"Rich The Kid, Young Thug, Gunna",Rich The Kid,Young Thug,Gunna,,,,,,,,Fall Threw (feat. Young Thug & Gunna),Interscope Records,74,74,2,1581299,Winter,March,26
179,spotify:track:4QIyEq7TcTdAcxjI2AFlAK,"6ix9ine, Nicki Minaj, Murda Beatz",6ix9ine,Nicki Minaj,Murda Beatz,,,,,,,,FEFE,"Scumgang Records/TenThousand Projects, LLC",2,163,37,1576636,Winter,March,26
180,spotify:track:79esEXlqqmq0GPz0xQSZTV,Shawn Mendes,Shawn Mendes,,,,,,,,,,Lost In Japan,Island Records,22,174,20,1576621,Winter,March,26
181,spotify:track:67fNrBUMc7iWMofdCaoJV9,Blueface,Blueface,,,,,,,,,,Bleed It,Cash Money Records Inc.,85,156,11,1574928,Winter,March,26
182,spotify:track:7hzlzoOwCZ4D3Ow5YZK4kj,Daya,Daya,,,,,,,,,,Insomnia,Interscope Records,182,-1,1,1564487,Winter,March,26
183,spotify:track:5nzhL67GpF9szXWg5y509A,Lil Baby,Lil Baby,,,,,,,,,,Close Friends (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",39,176,24,1564066,Winter,March,26
184,spotify:track:7oJrVhiTPZGBXWPwhxjy9S,Lil Skies,Lil Skies,,,,,,,,,,Lust,All We Got Ent.,79,173,62,1560909,Winter,March,26
185,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Capo, Farruko",Pedro Capo,Farruko,,,,,,,,,Calma - Remix,Sony Music Latin,114,184,14,1557810,Winter,March,26
186,spotify:track:1ttPzkTSpQUFcEGx8bjerL,Roddy Ricch,Roddy Ricch,,,,,,,,,,Every Season,Bird Vision Entertainment,185,185,3,1539859,Winter,March,26
187,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,James Arthur,,,,,,,,,,Say You Won't Let Go,Columbia,15,180,93,1539853,Winter,March,26
188,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,Queen,Queen,,,,,,,,,,Another One Bites The Dust - Remastered 2011,Hollywood Records,107,168,11,1538553,Winter,March,26
189,spotify:track:22An65gG31JLf9n18qjdhZ,XXXTENTACION,XXXTENTACION,,,,,,,,,,BAD!,Bad Vibes Forever / EMPIRE,2,169,21,1537680,Winter,March,26
190,spotify:track:3wFLWP0FcIqHK1wb1CPthQ,Ariana Grande,Ariana Grande,,,,,,,,,,fake smile,Republic Records,8,145,8,1530020,Winter,March,26
191,spotify:track:6foY66mWZN0pSRjZ408c00,Morgan Wallen,Morgan Wallen,,,,,,,,,,Whiskey Glasses,Big Loud Records,178,188,3,1523578,Winter,March,26
192,spotify:track:6PfI6EeLNiNGVAVg11nv7D,Gunna,Gunna,,,,,,,,,,Speed It Up,300 Entertainment,55,170,7,1507055,Winter,March,26
193,spotify:track:4KXDT3pmPDB9IB6hTUoGpd,"PnB Rock, Lil Skies",PnB Rock,Lil Skies,,,,,,,,,I Like Girls (feat. Lil Skies),Atlantic Records,166,166,2,1505390,Winter,March,26
194,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Imagine Dragons,,,,,,,,,,Thunder,Kid Ina Korner / Interscope,21,191,95,1496561,Winter,March,26
195,spotify:track:1ZAyjvIk9YiD76yYy0TEG6,Rich The Kid,Rich The Kid,,,,,,,,,,Plug Walk,Rich The Kid / (TDE/ISR PS),7,175,60,1488802,Winter,March,26
196,spotify:track:14SaZBTjxlorHJQxXh01Hu,"Summer Walker, Drake",Summer Walker,Drake,,,,,,,,,Girls Need Love (with Drake) - Remix,LVRN/Interscope Records,54,115,5,1487259,Winter,March,26
197,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Imagine Dragons,,,,,,,,,,Believer,Kid Ina Korner / Interscope,11,195,104,1483708,Winter,March,26
198,spotify:track:2BSbCCbaSCzkOEZa6N5901,Juice WRLD,Juice WRLD,,,,,,,,,,Flaws And Sins,Grade A Productions/Interscope Records,51,128,4,1476379,Winter,March,26
199,spotify:track:5aXgz1oKK8Q9z9xvTmSnrO,Trippie Redd,Trippie Redd,,,,,,,,,,Topanga,"TenThousand Projects, LLC",11,183,24,1473858,Winter,March,26
200,spotify:track:698eQRku24PIYPQPHItKlA,Luke Combs,Luke Combs,,,,,,,,,,She Got the Best of Me,River House Artists/Columbia Nashville,163,-1,5,1468057,Winter,March,26
1,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,"Lil Nas X, Billy Ray Cyrus",Lil Nas X,Billy Ray Cyrus,,,,,,,,,Old Town Road - Remix,Columbia,1,-1,1,20673623,Spring ,April,27
2,spotify:track:53CJANUxooaqGOtdsBTh7O,Lil Nas X,Lil Nas X,,,,,,,,,,Old Town Road,Columbia,2,2,6,15186440,Spring ,April,27
3,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,Billie Eilish,,,,,,,,,,bad guy,Darkroom/Interscope Records,1,1,2,13890824,Spring ,April,27
4,spotify:track:3KkXRkHbMCARz0aVfEt68P,"Post Malone, Swae Lee",Post Malone,Swae Lee,,,,,,,,,Sunflower - Spider-Man: Into the Spider-Verse,Universal Records,1,6,25,8696363,Spring ,April,27
5,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,Billie Eilish,Billie Eilish,,,,,,,,,,wish you were gay,Darkroom/Interscope Records,3,3,6,8165235,Spring ,April,27
6,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,J. Cole,J. Cole,,,,,,,,,,MIDDLE CHILD,"Dreamville, Inc., Under exclusive license to Roc Nation Records",1,9,12,7808654,Spring ,April,27
7,spotify:track:1wJRveJZLSb1rjhnUHQiv6,"A Boogie Wit da Hoodie, 6ix9ine",A Boogie Wit da Hoodie,6ix9ine,,,,,,,,,Swervin (feat. 6ix9ine),Highbridge the Label / Atlantic Records,7,12,16,7378430,Spring ,April,27
